"Q3.5","Q3.6","Q5.1","Q5.2","Q5.3","Q5.4","Q3.1","region"
7.4,8.25,6.66666666666667,4,4.75,4.2,6.33333333333333,"Middle East & North Africa"
6.66666666666667,7.16666666666667,7.5,4.75,4.2,5.2,3.25,"Middle East & North Africa"
8.5,7,8,6,2.5,7.5,3,"Middle East & North Africa"
8,8.25,6.5,4.5,3.6,5.4,5.5,"Middle East & North Africa"
4.6,6,4.33333333333333,7.75,5.5,2,7.83333333333333,"Latin America & Caribbean"
9.2,8.8,2.33333333333333,4.33333333333333,8.5,6.33333333333333,6.25,"Latin America & Caribbean"
8,7.33333333333333,2,2.66666666666667,9,4.33333333333333,6,"Latin America & Caribbean"
7.4,7.2,4.5,7.5,8,6.33333333333333,3,"Latin America & Caribbean"
5.5,3.25,1.6,0.8,8.33333333333333,5.75,1.8,"Latin America & Caribbean"
2,3.2,3.5,3,3.5,2.2,3.33333333333333,"Latin America & Caribbean"
7.75,7.8,4.4,8.25,5.5,3.25,8,"Latin America & Caribbean"
NA,NA,NA,NA,NA,NA,NA,"Middle East & North Africa"
NA,NA,NA,NA,NA,NA,4,"Middle East & North Africa"
NA,NA,NA,NA,NA,NA,4,"Middle East & North Africa"
7,NA,3,2,NA,2,5.33333333333333,"Middle East & North Africa"
NA,NA,NA,NA,NA,NA,3,"Middle East & North Africa"
9,9,NA,NA,NA,NA,3,"Middle East & North Africa"
NA,NA,7,NA,NA,8,2,"Middle East & North Africa"
7,3,10,8,9,10,4,"Middle East & North Africa"
NA,NA,NA,NA,NA,NA,3,"Middle East & North Africa"
NA,7,NA,NA,NA,NA,5,"Middle East & North Africa"
9.25,9.66666666666667,8.25,9,5,10,0.666666666666667,"Sub-Saharan Africa"
3.8,4.02325581395349,2.79487179487179,3.675,3.32432432432432,3,5.39583333333333,"Europe & Central Asia"
3.7,5.1578947368421,6.02222222222222,6.875,6.22641509433962,3.19047619047619,7.72463768115942,"Europe & Central Asia"
3,4.5,6.41304347826087,7.98245614035088,2.83636363636364,5.30952380952381,7.78378378378378,"Europe & Central Asia"
7.53448275862069,7.59322033898305,1.85507246376812,1.75,5.10810810810811,4.88095238095238,2.98611111111111,"Europe & Central Asia"
2.5,3.57377049180328,5.5,6.24324324324324,2.80701754385965,4.44186046511628,4,"Europe & Central Asia"
8.29508196721311,8.31746031746032,1.98507462686567,2.5,4.25714285714286,5.8780487804878,6.84615384615385,"Europe & Central Asia"
7.28985507246377,7.82857142857143,1.80281690140845,1.29577464788732,7.26315789473684,3.42857142857143,1.86206896551724,"Europe & Central Asia"
9.16049382716049,9.35897435897436,3.27272727272727,5.375,8.58730158730159,7.08510638297872,8.97297297297297,"Europe & Central Asia"
8.69230769230769,9.53846153846154,1.36363636363636,3.72727272727273,7.6,6.54545454545455,6.14285714285714,"Europe & Central Asia"
3.90909090909091,4.25,2.33333333333333,4.88888888888889,3.375,3.2,3.14285714285714,"Europe & Central Asia"
3.8,4.33333333333333,1.5,1.66666666666667,4.4,0.666666666666667,6,"Europe & Central Asia"
2.08333333333333,2.38461538461538,4.85714285714286,7.28571428571429,2.88888888888889,1.63636363636364,7.28571428571429,"Europe & Central Asia"
2.53846153846154,2.7,4.85714285714286,5.75,2.58333333333333,1.36363636363636,3.09090909090909,"Europe & Central Asia"
4.125,5.33333333333333,3.75,6,4,1.85714285714286,7.3,"Europe & Central Asia"
7,6.8,5.6,5.83333333333333,3.4,5.2,3.33333333333333,"Sub-Saharan Africa"
7.625,7.25,5.2,5.83333333333333,2.25,5,3.57142857142857,"Sub-Saharan Africa"
7.25,7.6,5.6,5.83333333333333,3.4,5,3.2,"Sub-Saharan Africa"
6.83333333333333,6.25,6.75,6.25,3.33333333333333,4,3,"Sub-Saharan Africa"
7,6.28571428571429,6,5.83333333333333,3.2,5.2,3.2,"Sub-Saharan Africa"
7,6.6,5.6,5.83333333333333,3.5,5.25,3.2,"Sub-Saharan Africa"
7.25,7,5.6,5.71428571428571,2.25,5.25,3.5,"Sub-Saharan Africa"
